symbol,name,date,current_price,market_cap,total_volume,label
btc,Bitcoin,07-01-2025,102229.39453189744,2024825178619.8228,46111387334.46171,0
btc,Bitcoin,06-01-2025,98364.58946599838,1948339898718.8584,20060293834.7155,1
btc,Bitcoin,05-01-2025,98256.73876849932,1946611205641.351,20979035420.980797,1
btc,Bitcoin,04-01-2025,98084.34279280754,1942834829349.9563,35721645948.10051,1
btc,Bitcoin,03-01-2025,96852.14681235077,1917905016063.62,45157338602.61752,1
btc,Bitcoin,02-01-2025,94384.1761153871,1869193319140.2424,23275007789.49633,1
btc,Bitcoin,01-01-2025,93507.85874741492,1851839954625.13,45327464907.74362,1
btc,Bitcoin,31-12-2024,92627.28213113276,1833188187477.531,57595164139.4709,1
btc,Bitcoin,30-12-2024,93663.44751964069,1854872605738.8088,24065314499.502277,0
btc,Bitcoin,29-12-2024,95184.61945288602,1885556552231.4316,22429850903.940086,0
btc,Bitcoin,28-12-2024,94331.94727053076,1867708753554.924,41498540807.66696,1
btc,Bitcoin,27-12-2024,95678.31244565404,1894744251986.1084,45049342388.18843,0
btc,Bitcoin,26-12-2024,99344.95417367227,1966481159354.1177,33963749856.44743,0
btc,Bitcoin,25-12-2024,98695.714007826,1951173788529.116,49169088282.15742,1
btc,Bitcoin,24-12-2024,94644.9108546432,1874912975786.6604,64937790292.61125,1
btc,Bitcoin,23-12-2024,95094.27394862172,1884599149192.4587,44619017105.36954,0
btc,Bitcoin,22-12-2024,97202.82496847631,1922768195068.165,53058382639.48845,0
btc,Bitcoin,21-12-2024,97691.43431692652,1932373308116.0107,112340864006.62828,0
btc,Bitcoin,20-12-2024,97851.35377075804,1937022229972.2085,100611554887.24124,0
btc,Bitcoin,19-12-2024,100355.5761481501,1985284833093.572,113692025885.44743,0
btc,Bitcoin,18-12-2024,106034.913402645,2100629850064.912,93417826250.1972,0
btc,Bitcoin,17-12-2024,106074.10723541168,2097460193710.789,115184737759.33566,0
btc,Bitcoin,16-12-2024,104721.50151808978,2075487816560.1924,70645074624.52869,1
