,2025-01-03_open,2025-01-03_high,2025-01-03_low,2025-01-03_close,2025-01-03_volume,2025-01-02_open,2025-01-02_high,2025-01-02_low,2025-01-02_close,2025-01-02_volume,2024-12-31_open,2024-12-31_high,2024-12-31_low,2024-12-31_close,2024-12-31_volume,2024-12-30_open,2024-12-30_high,2024-12-30_low,2024-12-30_close,2024-12-30_volume,2024-12-27_open,2024-12-27_high,2024-12-27_low,2024-12-27_close,2024-12-27_volume,2024-12-26_open,2024-12-26_high,2024-12-26_low,2024-12-26_close,2024-12-26_volume,2024-12-24_open,2024-12-24_high,2024-12-24_low,2024-12-24_close,2024-12-24_volume,2024-12-23_open,2024-12-23_high,2024-12-23_low,2024-12-23_close,2024-12-23_volume,2024-12-20_open,2024-12-20_high,2024-12-20_low,2024-12-20_close,2024-12-20_volume,2024-12-19_open,2024-12-19_high,2024-12-19_low,2024-12-19_close,2024-12-19_volume,2024-12-18_open,2024-12-18_high,2024-12-18_low,2024-12-18_close,2024-12-18_volume,2024-12-17_open,2024-12-17_high,2024-12-17_low,2024-12-17_close,2024-12-17_volume,2024-12-16_open,2024-12-16_high,2024-12-16_low,2024-12-16_close,2024-12-16_volume,2024-12-13_open,2024-12-13_high,2024-12-13_low,2024-12-13_close,2024-12-13_volume,2024-12-12_open,2024-12-12_high,2024-12-12_low,2024-12-12_close,2024-12-12_volume,2024-12-11_open,2024-12-11_high,2024-12-11_low,2024-12-11_close,2024-12-11_volume,2024-12-10_open,2024-12-10_high,2024-12-10_low,2024-12-10_close,2024-12-10_volume,2024-12-09_open,2024-12-09_high,2024-12-09_low,2024-12-09_close,2024-12-09_volume,2024-12-06_open,2024-12-06_high,2024-12-06_low,2024-12-06_close,2024-12-06_volume,2024-12-05_open,2024-12-05_high,2024-12-05_low,2024-12-05_close,2024-12-05_volume,2024-12-04_open,2024-12-04_high,2024-12-04_low,2024-12-04_close,2024-12-04_volume,2024-12-03_open,2024-12-03_high,2024-12-03_low,2024-12-03_close,2024-12-03_volume,2024-12-02_open,2024-12-02_high,2024-12-02_low,2024-12-02_close,2024-12-02_volume,2024-11-29_open,2024-11-29_high,2024-11-29_low,2024-11-29_close,2024-11-29_volume,2024-11-27_open,2024-11-27_high,2024-11-27_low,2024-11-27_close,2024-11-27_volume,2024-11-26_open,2024-11-26_high,2024-11-26_low,2024-11-26_close,2024-11-26_volume,2024-11-25_open,2024-11-25_high,2024-11-25_low,2024-11-25_close,2024-11-25_volume,2024-11-22_open,2024-11-22_high,2024-11-22_low,2024-11-22_close,2024-11-22_volume,2024-11-21_open,2024-11-21_high,2024-11-21_low,2024-11-21_close,2024-11-21_volume,2024-11-20_open,2024-11-20_high,2024-11-20_low,2024-11-20_close,2024-11-20_volume,2024-11-19_open,2024-11-19_high,2024-11-19_low,2024-11-19_close,2024-11-19_volume,2024-11-18_open,2024-11-18_high,2024-11-18_low,2024-11-18_close,2024-11-18_volume,2024-11-15_open,2024-11-15_high,2024-11-15_low,2024-11-15_close,2024-11-15_volume,2024-11-14_open,2024-11-14_high,2024-11-14_low,2024-11-14_close,2024-11-14_volume,2024-11-13_open,2024-11-13_high,2024-11-13_low,2024-11-13_close,2024-11-13_volume,2024-11-12_open,2024-11-12_high,2024-11-12_low,2024-11-12_close,2024-11-12_volume,2024-11-11_open,2024-11-11_high,2024-11-11_low,2024-11-11_close,2024-11-11_volume,2024-11-08_open,2024-11-08_high,2024-11-08_low,2024-11-08_close,2024-11-08_volume,2024-11-07_open,2024-11-07_high,2024-11-07_low,2024-11-07_close,2024-11-07_volume,2024-11-06_open,2024-11-06_high,2024-11-06_low,2024-11-06_close,2024-11-06_volume,2024-11-05_open,2024-11-05_high,2024-11-05_low,2024-11-05_close,2024-11-05_volume,2024-11-04_open,2024-11-04_high,2024-11-04_low,2024-11-04_close,2024-11-04_volume,2024-11-01_open,2024-11-01_high,2024-11-01_low,2024-11-01_close,2024-11-01_volume,2024-10-31_open,2024-10-31_high,2024-10-31_low,2024-10-31_close,2024-10-31_volume,2024-10-30_open,2024-10-30_high,2024-10-30_low,2024-10-30_close,2024-10-30_volume,2024-10-29_open,2024-10-29_high,2024-10-29_low,2024-10-29_close,2024-10-29_volume,2024-10-28_open,2024-10-28_high,2024-10-28_low,2024-10-28_close,2024-10-28_volume,2024-10-25_open,2024-10-25_high,2024-10-25_low,2024-10-25_close,2024-10-25_volume,2024-10-24_open,2024-10-24_high,2024-10-24_low,2024-10-24_close,2024-10-24_volume,2024-10-23_open,2024-10-23_high,2024-10-23_low,2024-10-23_close,2024-10-23_volume,2024-10-22_open,2024-10-22_high,2024-10-22_low,2024-10-22_close,2024-10-22_volume,2024-10-21_open,2024-10-21_high,2024-10-21_low,2024-10-21_close,2024-10-21_volume,2024-10-18_open,2024-10-18_high,2024-10-18_low,2024-10-18_close,2024-10-18_volume,2024-10-17_open,2024-10-17_high,2024-10-17_low,2024-10-17_close,2024-10-17_volume,2024-10-16_open,2024-10-16_high,2024-10-16_low,2024-10-16_close,2024-10-16_volume,2024-10-15_open,2024-10-15_high,2024-10-15_low,2024-10-15_close,2024-10-15_volume,2024-10-14_open,2024-10-14_high,2024-10-14_low,2024-10-14_close,2024-10-14_volume,2024-10-11_open,2024-10-11_high,2024-10-11_low,2024-10-11_close,2024-10-11_volume,2024-10-10_open,2024-10-10_high,2024-10-10_low,2024-10-10_close,2024-10-10_volume,2024-10-09_open,2024-10-09_high,2024-10-09_low,2024-10-09_close,2024-10-09_volume,2024-10-08_open,2024-10-08_high,2024-10-08_low,2024-10-08_close,2024-10-08_volume,2024-10-07_open,2024-10-07_high,2024-10-07_low,2024-10-07_close,2024-10-07_volume,2024-10-04_open,2024-10-04_high,2024-10-04_low,2024-10-04_close,2024-10-04_volume,2024-10-03_open,2024-10-03_high,2024-10-03_low,2024-10-03_close,2024-10-03_volume,2024-10-02_open,2024-10-02_high,2024-10-02_low,2024-10-02_close,2024-10-02_volume,2024-10-01_open,2024-10-01_high,2024-10-01_low,2024-10-01_close,2024-10-01_volume,2024-09-30_open,2024-09-30_high,2024-09-30_low,2024-09-30_close,2024-09-30_volume,2024-09-27_open,2024-09-27_high,2024-09-27_low,2024-09-27_close,2024-09-27_volume,2024-09-26_open,2024-09-26_high,2024-09-26_low,2024-09-26_close,2024-09-26_volume,2024-09-25_open,2024-09-25_high,2024-09-25_low,2024-09-25_close,2024-09-25_volume,2024-09-24_open,2024-09-24_high,2024-09-24_low,2024-09-24_close,2024-09-24_volume,2024-09-23_open,2024-09-23_high,2024-09-23_low,2024-09-23_close,2024-09-23_volume,2024-09-20_open,2024-09-20_high,2024-09-20_low,2024-09-20_close,2024-09-20_volume,2024-09-19_open,2024-09-19_high,2024-09-19_low,2024-09-19_close,2024-09-19_volume,2024-09-18_open,2024-09-18_high,2024-09-18_low,2024-09-18_close,2024-09-18_volume,2024-09-17_open,2024-09-17_high,2024-09-17_low,2024-09-17_close,2024-09-17_volume,2024-09-16_open,2024-09-16_high,2024-09-16_low,2024-09-16_close,2024-09-16_volume,2024-09-13_open,2024-09-13_high,2024-09-13_low,2024-09-13_close,2024-09-13_volume,2024-09-12_open,2024-09-12_high,2024-09-12_low,2024-09-12_close,2024-09-12_volume,2024-09-11_open,2024-09-11_high,2024-09-11_low,2024-09-11_close,2024-09-11_volume,2024-09-10_open,2024-09-10_high,2024-09-10_low,2024-09-10_close,2024-09-10_volume,2024-09-09_open,2024-09-09_high,2024-09-09_low,2024-09-09_close,2024-09-09_volume,2024-09-06_open,2024-09-06_high,2024-09-06_low,2024-09-06_close,2024-09-06_volume,2024-09-05_open,2024-09-05_high,2024-09-05_low,2024-09-05_close,2024-09-05_volume,2024-09-04_open,2024-09-04_high,2024-09-04_low,2024-09-04_close,2024-09-04_volume,2024-09-03_open,2024-09-03_high,2024-09-03_low,2024-09-03_close,2024-09-03_volume,2024-08-30_open,2024-08-30_high,2024-08-30_low,2024-08-30_close,2024-08-30_volume,2024-08-29_open,2024-08-29_high,2024-08-29_low,2024-08-29_close,2024-08-29_volume,2024-08-28_open,2024-08-28_high,2024-08-28_low,2024-08-28_close,2024-08-28_volume,2024-08-27_open,2024-08-27_high,2024-08-27_low,2024-08-27_close,2024-08-27_volume,2024-08-26_open,2024-08-26_high,2024-08-26_low,2024-08-26_close,2024-08-26_volume,2024-08-23_open,2024-08-23_high,2024-08-23_low,2024-08-23_close,2024-08-23_volume,2024-08-22_open,2024-08-22_high,2024-08-22_low,2024-08-22_close,2024-08-22_volume,2024-08-21_open,2024-08-21_high,2024-08-21_low,2024-08-21_close,2024-08-21_volume,2024-08-20_open,2024-08-20_high,2024-08-20_low,2024-08-20_close,2024-08-20_volume,2024-08-19_open,2024-08-19_high,2024-08-19_low,2024-08-19_close,2024-08-19_volume,2024-08-16_open,2024-08-16_high,2024-08-16_low,2024-08-16_close,2024-08-16_volume,2024-08-15_open,2024-08-15_high,2024-08-15_low,2024-08-15_close,2024-08-15_volume,2024-08-14_open,2024-08-14_high,2024-08-14_low,2024-08-14_close,2024-08-14_volume,2024-08-13_open,2024-08-13_high,2024-08-13_low,2024-08-13_close,2024-08-13_volume
SPY,587.53,592.6,586.43,591.95,37888459,589.39,591.13,580.5,584.64,50203975,589.905,590.6399,584.42,586.08,57052654,587.89,591.74,584.41,588.22,56578757,597.54,597.7761,590.7647,595.01,64969310,599.5,602.48,598.0825,601.34,41338891,596.06,601.34,595.47,601.3,33160097,590.89,595.3,587.661,594.69,57635828,581.77,595.75,580.91,591.15,125716674,591.36,593.0,585.85,586.1,85919452,603.98,606.405,585.89,586.28,108248729,604.19,605.17,602.885,604.29,55773545,606.0,607.7795,605.21,606.79,43695179,606.4,607.13,602.81,604.21,35904730,606.58,607.16,604.33,604.33,31543812,605.78,608.435,605.5,607.46,28677723,605.37,605.8,602.13,602.8,37234515,607.69,607.86,604.08,604.68,34742738,607.44,609.07,607.02,607.81,31241549,607.66,608.48,606.305,606.66,28762183,605.63,607.91,604.95,607.66,42787561,603.39,604.16,602.341,603.91,26906629,602.97,604.32,602.47,603.63,31745989,599.66,603.35,599.38,602.55,30095740,600.46,600.85,597.28,598.83,34000163,598.8,601.33,598.07,600.65,45621288,599.52,600.86,595.2,597.53,42441393,593.66,596.15,593.1525,595.51,38226390,593.4,595.12,587.45,593.67,46750285,590.38,590.79,584.63,590.5,50032576,584.71,591.045,584.03,590.3,49412046,586.22,589.49,585.34,588.15,37084081,589.72,590.2,583.86,585.75,75988766,597.32,597.81,592.65,593.35,38904109,597.37,599.23,594.96,597.19,47388640,598.68,599.29,594.37,596.9,43006128,599.81,600.17,597.0,598.76,37586773,596.17,599.64,596.165,598.19,46444893,593.08,596.65,592.9999,595.61,47233212,589.2,591.93,585.39,591.04,68181968,570.74,576.74,570.52,576.7,39478322,571.18,572.5,567.89,569.81,38216975,571.32,575.55,570.62,571.04,45667533,575.56,575.63,568.44,568.64,60182451,581.29,583.32,579.29,580.01,41435839,579.85,582.907,578.43,581.77,42899661,582.58,582.71,580.52,580.83,30174704,581.51,584.46,578.08,579.04,47268176,579.98,580.06,576.57,579.24,34979860,581.26,581.7086,574.415,577.99,49314574,581.05,584.5,580.38,583.32,34183835,583.85,584.85,580.6001,583.63,36439010,584.07,585.39,582.58,584.59,37416801,585.91,586.12,582.16,582.35,34393714,579.78,582.83,578.96,582.3,30725436,584.59,584.9,578.545,579.78,54203636,581.22,585.27,580.73,584.32,36217215,576.05,580.33,575.91,579.58,42267994,575.77,577.58,574.49,576.13,44138060,573.16,577.71,572.55,577.14,37912244,570.42,573.78,569.5299,573.17,37398693,571.3,571.9599,566.63,567.8,49964690,572.35,573.36,568.1,572.98,43005186,567.36,569.8025,565.49,567.82,40846466,567.71,569.9,565.27,568.86,38097798,573.4,574.0622,566.0,568.62,72668778,570.42,574.38,568.08,573.76,63655448,573.39,574.22,570.42,571.47,42100928,574.38,574.71,569.9,572.3,48336004,571.14,571.89,568.91,570.04,38428587,570.48,571.36,567.6,571.3,46805672,569.34,570.3325,568.1,569.67,44116922,567.84,569.31,565.17,568.25,77503110,571.01,572.88,568.08,570.98,75315470,563.74,568.69,560.83,561.4,59044937,565.1,566.58,560.795,563.07,49320970,561.74,563.11,559.9,562.84,36656122,559.71,563.03,559.45,562.01,39310501,555.01,559.4,552.74,559.09,51892735,548.7,555.36,539.96,554.42,75248608,548.36,549.15,543.38,548.79,36394579,544.65,547.71,542.68,546.41,40445822,549.94,551.6,539.44,540.36,68493805,550.89,553.7995,547.1,549.61,44264258,550.2,554.43,549.46,550.95,46232483,560.47,560.81,549.51,552.08,60600113,560.77,564.2,557.14,563.68,62700110,560.31,563.68,557.18,558.35,38715176,561.21,561.65,555.04,558.3,41066024,559.49,562.06,558.32,561.56,32693898,563.18,563.91,559.05,560.79,35788609,559.53,563.09,557.29,562.13,50639393,562.56,563.18,554.98,556.22,56121456,559.77,562.11,554.73,560.62,41514600,559.15,560.84,557.325,558.7,33732264,554.73,559.61,553.86,559.61,39121793,551.42,555.02,551.26,554.31,44430728,549.5,553.36,548.88,553.07,60846812,542.85,544.96,540.12,543.75,42446929,536.53,542.28,536.28,542.04,52333073
BAR,26.14,26.18,26.03,26.03,853317,26.12,26.259,26.11,26.24,987210,25.77,25.935,25.77,25.89,1158582,25.78,25.93,25.62,25.74,1132779,25.8,25.875,25.78,25.81,936835,25.92,26.042,25.895,26.0,957285,25.81,25.8399,25.745,25.83,435905,25.83,25.84,25.7399,25.77,1360241,25.8,25.9701,25.795,25.89,1097287,25.63,25.6651,25.5299,25.63,1498972,26.04,26.07,25.54,25.58,1509853,26.07,26.14,26.015,26.08,850316,26.24,26.25,26.14,26.17,869719,26.28,26.29,26.12,26.14,1850185,26.5,26.54,26.3965,26.44,1496637,26.67,26.865,26.62,26.81,2120121,26.5,26.6046,26.4979,26.56,678556,26.33,26.412,26.2273,26.24,742800,25.97,26.0704,25.92,25.99,915177,26.11,26.1236,25.895,25.97,1157792,26.19,26.2255,26.1279,26.16,1135060,26.2,26.2,26.0201,26.08,780383,26.14,26.1494,25.9987,26.02,1205822,26.21,26.275,26.17,26.25,686428,26.19,26.21,26.0001,26.04,1158845,25.96,25.9899,25.83,25.97,1229750,26.11,26.115,25.8201,25.93,1644661,26.54,26.765,26.51,26.7,967442,26.33,26.3807,26.2679,26.36,925690,26.06,26.2116,26.04,26.14,807453,25.95,26.0099,25.8765,26.0,401133,25.7,25.815,25.7,25.78,398664,25.39,25.4255,25.265,25.3,415074,25.28,25.435,25.24,25.34,648026,25.8,25.81,25.4,25.4,1029031,25.79,25.83,25.59,25.67,1158995,25.94,25.94,25.77,25.89,898258,26.62,26.65,26.4899,26.51,1248060,26.54,26.745,26.525,26.7,1128692,26.25,26.4433,26.1879,26.26,1265988,27.14,27.155,26.985,27.09,645692,27.07,27.1063,26.965,27.03,538038,27.2,27.245,26.985,27.0,920329,27.32,27.32,26.9579,27.1,937540,27.45,27.5445,27.36,27.51,820173,27.21,27.39,27.18,27.36,569762,27.05,27.105,27.035,27.07,486635,26.94,27.095,26.91,27.07,473517,27.08,27.08,26.875,27.02,841115,27.06,27.06,26.745,26.8,915728,27.06,27.14,26.99,27.13,834126,27.02,27.055,26.7978,26.86,895643,26.73,26.865,26.72,26.86,563403,26.46,26.615,26.46,26.56,622691,26.47,26.51,26.33,26.42,509360,26.19,26.35,26.135,26.27,601328,26.21,26.2701,26.1,26.18,569926,26.13,26.28,26.13,26.22,765883,25.84,25.97,25.82,25.96,1312745,25.78,25.845,25.7199,25.76,707252,26.07,26.0817,25.715,25.89,1251935,26.15,26.1699,26.0599,26.09,613612,26.19,26.36,26.0899,26.19,784484,26.16,26.28,26.06,26.24,705556,26.26,26.3,26.08,26.24,719769,26.22,26.395,26.19,26.26,1071075,26.07,26.09,25.9199,25.97,865717,26.33,26.37,26.0901,26.19,988695,26.32,26.435,26.21,26.4,880090,26.32,26.345,26.16,26.27,628785,26.02,26.31,25.99,26.29,682897,25.98,26.015,25.9299,25.94,478634,25.77,25.925,25.6999,25.89,715346,25.46,25.595,25.37,25.55,493063,25.46,25.675,25.1502,25.18,969307,25.43,25.5,25.2849,25.35,811971,25.52,25.57,25.44,25.49,448666,25.44,25.535,25.41,25.51,843060,25.06,25.261,25.05,25.26,910848,24.77,24.885,24.695,24.82,511627,24.83,24.86,24.695,24.86,461218,24.71,24.75,24.619,24.75,660298,24.76,24.865,24.535,24.64,1460283,24.86,24.89,24.725,24.82,1080730,24.56,24.6833,24.515,24.63,932341,24.62,24.6258,24.42,24.6,1165831,24.85,24.875,24.635,24.7,949561,24.79,24.9613,24.79,24.89,882598,24.8,24.8,24.655,24.76,697438,24.76,24.9499,24.75,24.93,641786,24.95,24.95,24.7987,24.86,744508,24.7,24.865,24.6387,24.8,911349,24.62,24.62,24.3903,24.5,878512,24.79,24.88,24.635,24.81,749108,24.98,24.99,24.695,24.84,782834,24.6,24.7685,24.55,24.74,521000,24.56,24.785,24.47,24.78,922290,24.19,24.31,24.055,24.24,803486,24.21,24.29,24.08,24.16,406368,24.38,24.4403,24.315,24.37,367770
